City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,papatowai,-46.5619,169.4708,8.22,80,91,1.07,NZ,1710173481
1,trairi,-3.2778,-39.2689,31.37,61,78,3.58,BR,1710173481
2,utrik,11.2278,169.8474,26.84,77,88,9.78,MH,1710173481
3,corner brook,48.9667,-57.9484,2.47,84,100,8.97,CA,1710173481
4,pariaman,-0.619,100.12,26.03,87,83,1.45,ID,1710173481
5,quellon,-43.1167,-73.6167,12.71,97,100,6.66,CL,1710173481
6,dudinka,69.4058,86.1778,-24.62,99,99,2.24,RU,1710173481
7,longyearbyen,78.2186,15.6401,-12.09,72,75,6.69,SJ,1710173481
8,dunedin,-45.8742,170.5036,10.45,99,100,1.34,NZ,1710173482
9,ancud,-41.8697,-73.8203,14.47,87,100,5.85,CL,1710173482
10,el calafate,-50.3408,-72.2768,7.19,75,100,0.49,AR,1710173408
11,edinburgh of the seven seas,-37.0676,-12.3116,15.86,61,51,4.27,SH,1710173482
12,port-aux-francais,-49.35,70.2167,8.24,83,83,13.96,TF,1710173482
13,isangel,-19.55,169.2667,26.87,91,80,3.14,VU,1710173482
14,tsengel,49.4783,100.8894,-8.19,81,100,2.31,MN,1710173482
15,mount darwin,-16.7725,31.5838,26.89,54,49,1.77,ZW,1710173483
16,kafir qala,34.6667,61.0667,17.14,48,60,3.31,AF,1710173483
17,adamstown,-25.066,-130.1015,21.96,88,100,1.98,PN,1710173483
18,jamestown,42.097,-79.2353,2.79,63,40,7.72,US,1710173483
19,fort bragg,35.139,-79.006,12.58,28,2,2.68,US,1710173483
20,grytviken,-54.2811,-36.5092,8.87,79,97,5.65,GS,1710173483
21,bethel,41.3712,-73.414,6.41,56,100,8.23,US,1710173483
22,waitangi,-43.9535,-176.5597,12.12,79,95,0.45,NZ,1710173483
23,port mathurin,-19.6833,63.4167,26.59,83,62,10.19,MU,1710173484
24,haiku-pauwela,20.9219,-156.3051,21.13,84,20,7.2,US,1710173484
25,leava,-14.3,-178.1667,28.87,79,100,3.92,WF,1710173484
